Day,ModelRadius,ModelArea,ModelGrayMean,ModelIntDen,ModelCircularity,ModelFeret,ModelPerimeter,ModelTotalH,TouchesBoundary
10.8,311.6261434822994,305082.7433163018,73.46140425736307,22411806.73870418,0.8912498431249157,628.7331579217117,2074.025158830077,149125.3540711587,False
10.9,312.18179232203335,306171.6763679959,73.32127105726579,22448896.473035287,0.8944309847422564,629.1659958993772,2074.025158830077,149521.61827980683,False
11.0,312.366788955942,306534.654051894,73.2565271348302,22455664.202318355,0.8954913652813699,629.5985363085769,2074.025158830077,149853.82395917882,False
11.1,313.01341615179524,307805.0759455371,73.10338489648426,22501592.939938165,0.8992026971682668,631.1100932185818,2074.0251588300775,150254.8431137295,False
11.2,313.2901335326253,308349.5424713841,73.01887731626145,22515337.412243348,0.900793267976937,631.1100932185818,2074.0251588300775,150658.43934990966,False
11.3,313.88885098223693,309529.21994405275,72.8781784548869,22557925.728084616,0.8945860167038032,632.4028378651601,2085.185546357341,151064.60138441285,False
11.4,314.53234908244315,310799.6418376959,72.73183996121082,22605029.81014094,0.8982577271212331,633.9077079357631,2085.185546357341,151473.3182226175,False
11.5,314.89947187922934,311525.59720549197,72.64133323930571,22629634.719177864,0.9003558473597644,635.1947589188012,2085.185546357341,151815.8594361758,False
11.6,315.2661671672291,312251.5525732881,72.54720170737752,22652976.36797613,0.9024539675982958,635.1947589188012,2085.185546357341,152229.23245219444,False
11.7,315.723937362116,313158.99678303313,72.43858842070874,22684795.67820819,0.9050766178964597,636.6217638263745,2085.1855463573415,152645.1306200087,False
11.8,315.9982811682852,313703.4633088802,72.36334169713191,22700630.906994183,0.8930792629363339,638.2588752691324,2100.9687177597375,153063.54398051274,False
11.9,316.45499232028675,314610.9075186253,72.26215091459379,22734460.878488213,0.8956626568123429,638.401034383378,2100.9687177597375,153414.13609855177,False
12.0,317.0021771536897,315699.84057031944,72.14256528408039,22775396.35851804,0.8892897858949128,638.6852576861821,2112.1291052870015,153837.13561358638,False
12.1,317.7302910664556,317151.75130591163,71.99396979144444,22833013.602821503,0.8933796498139465,640.1753597461633,2112.129105287002,154262.62345380316,False
12.2,318.093723030921,317877.70667370764,71.90938587318855,22858390.66968389,0.8954245817734632,640.3879484258375,2112.129105287002,154690.59059266018,False
12.3,318.63809374809347,318966.63972540176,71.795623323433,22900408.718466107,0.8984919797127386,641.7327079770587,2112.129105287002,155121.0282314399,False
12.4,319.00049146970997,319692.5950931979,71.71745895296108,22927540.566162027,0.9005369116722558,642.2274359091103,2112.1291052870015,155481.607256847,False
12.5,319.63369879643074,320963.016986841,71.59176316158542,22978308.29574984,0.9041155426014102,644.6249993193902,2112.1291052870015,155916.55202532292,False
12.6,319.9046896876642,321507.4835126881,71.5281301166587,22996829.114175055,0.905649241571048,644.6249993193902,2112.1291052870015,156353.94354930357,False
12.7,320.22055588039035,322142.6944595096,71.45806110761282,23019692.346058685,0.8979243100440563,646.0311742996726,2123.289492814266,156793.7738492086,False
12.8,320.9413683982505,323594.6051951018,71.32513064506067,23080427.491577465,0.9019712928498885,646.452430340285,2123.289492814266,157162.15643473662,False
12.9,321.39105527762223,324502.0494048469,71.23580092907828,23116163.3924816,0.8912021640320403,647.7846005358391,2139.072664216662,157606.43776043298,False
13.0,322.0195619226177,325772.47129849,71.11861130298634,23168485.759490583,0.8946912105355213,649.2538190352379,2139.0726642166624,158053.13632417665,False
13.1,322.2885467073067,326316.9378243371,71.06148655058395,23188566.68843187,0.8961865161798707,649.2538190352379,2139.072664216662,158502.24488671642,False
13.2,322.73635649215277,327224.3820340822,70.97649411156823,23225239.42460359,0.8986786922537856,649.8824673128304,2139.072664216662,158953.75639004813,False
13.3,323.2729094087169,328313.3150857763,70.88033963651026,23270959.280468434,0.9016693035424834,650.7197202884711,2139.0726642166624,159331.8465861357,False
13.4,323.80857325482134,329402.2481374704,70.78384242477712,23316356.826530036,0.8952933453905615,652.1823266639252,2150.233051743926,159787.7457326899,False
13.5,324.34335243545456,330491.1811891645,70.68895860391484,23362077.42603977,0.8982529928133404,654.0580146891273,2150.233051743926,160246.02876655213,False
